U_66939	UBA1525	GB_GCA_002323355.1
U_70389	UBA9684	
U_73341	UBA10907	GB_GCA_003542255.1
U_74079	UBA5654	GB_GCA_002421005.1
U_65612	UBA8008	GB_GCA_003513785.1
U_70828	UBA9846	
U_77391	UBA7627	GB_GCA_002484035.1
U_76840	UBA12068	GB_GCA_003475885.1
U_66304	UBA56	GB_GCA_002504755.1
U_68064	UBA2161	GB_GCA_002328835.1
U_65780	UBA20	GB_GCA_002502565.1
U_77198	UBA12264	GB_GCA_003497195.1
U_67235	UBA1665	GB_GCA_002320475.1
U_73507	UBA10956	
U_75670	UBA6623	GB_GCA_002433055.1
U_75153	UBA11481	GB_GCA_003507315.1
U_72073	UBA4544	GB_GCA_002387975.1
U_73126	UBA5092	GB_GCA_002415645.1
U_68344	UBA2332	GB_GCA_002344905.1
U_76091	UBA6850	GB_GCA_002449295.1
U_67988	UBA2101	GB_GCA_002331525.1
U_69767	UBA3269	GB_GCA_002363275.1
U_67597	UBA1900	GB_GCA_002337725.1
U_70941	UBA3960	GB_GCA_002385275.1
U_68046	UBA8888	GB_GCA_003446165.1
U_72984	UBA10702	GB_GCA_003533085.1
U_77080	UBA7398	GB_GCA_002470135.1
U_65430	UBA7910	GB_GCA_003543495.1
U_72635	UBA10567	
U_74937	UBA6189	GB_GCA_002422745.1
U_70293	UBA9661	
U_72423	UBA10511	GB_GCA_003508595.1
U_74844	UBA6117	GB_GCA_002428385.1
U_77270	UBA7535	GB_GCA_002479295.1
U_65601	UBA715	GB_GCA_002298065.1
U_66413	UBA1181	GB_GCA_002310215.1
U_69708	UBA9397	
U_77334	UBA7587	GB_GCA_002478995.1
U_70514	UBA9733	
U_73351	UBA10911	
U_76922	UBA12148	GB_GCA_003507415.1
U_68832	UBA2631	GB_GCA_002359855.1
U_69060	UBA9219	GB_GCA_003504035.1
U_69536	UBA9330	
U_67140	UBA1610	GB_GCA_002321865.1
U_71472	UBA10153	GB_GCA_003534915.1
U_71233	UBA10010	GB_GCA_003524005.1
U_67201	UBA1644	GB_GCA_002321155.1
U_73765	UBA11010	
U_69960	UBA9481	GB_GCA_003526955.1
U_74875	UBA6137	GB_GCA_002422445.1
U_67968	UBA8859	GB_GCA_003537555.1
U_65413	UBA633	GB_GCA_002300025.1
U_69986	UBA9507	GB_GCA_003504225.1
U_74433	UBA5874	GB_GCA_002431505.1
U_70709	UBA9805	
U_68197	UBA8929	
U_71215	UBA9992	GB_GCA_003508665.1
U_66139	UBA1036	GB_GCA_002316805.1
U_68485	UBA2445	GB_GCA_002342625.1
U_69064	UBA9223	
U_73257	UBA10870	
U_75465	UBA6510	GB_GCA_002436345.1
U_68776	UBA9132	GB_GCA_003454005.1
U_77008	UBA12199	GB_GCA_003540135.1
U_76984	UBA7362	GB_GCA_002470405.1
U_75479	UBA484	GB_GCA_002497745.1
U_77266	UBA7531	GB_GCA_002476875.1
U_75692	UBA6636	GB_GCA_002455885.1
U_76995	UBA12195	GB_GCA_003540145.1
U_77145	UBA12244	
U_70657	UBA3762	GB_GCA_002371615.1
U_69819	UBA9427	
U_77853	UBA7857	GB_GCA_002501375.1
U_72732	UBA4936	GB_GCA_002397705.1
U_66005	UBA957	GB_GCA_002293065.1
U_75661	UBA6617	GB_GCA_002433145.1
U_69441	UBA3073	GB_GCA_002366725.1
U_70611	UBA3738	GB_GCA_002372505.1
U_77814	UBA12484	GB_GCA_003447165.1
U_77970	UBA7897	GB_GCA_002501025.1
U_65803	UBA829	GB_GCA_002295625.1
U_76394	UBA7047	GB_GCA_002492815.1
U_66046	UBA8147	GB_GCA_003483235.1
U_76621	UBA7229	GB_GCA_002473065.1
U_65529	UBA4	GB_GCA_002497985.1
U_67152	UBA8565	GB_GCA_003482575.1
U_66766	UBA78	GB_GCA_002503545.1
U_69033	UBA2764	GB_GCA_002352705.1
U_68161	UBA2226	GB_GCA_002348145.1
U_75734	UBA6669	GB_GCA_002455175.1
U_67305	UBA1711	GB_GCA_002317325.1
U_68508	UBA9011	
U_72991	UBA10709	GB_GCA_003545355.1
U_74206	UBA5712	GB_GCA_002419845.1
U_72003	UBA10369	GB_GCA_003505475.1
U_72191	UBA4618	GB_GCA_002386505.1
U_70751	UBA3819	GB_GCA_002369025.1
U_70163	UBA9594	GB_GCA_003444275.1
U_74179	UBA5700	GB_GCA_002420085.1
U_75394	UBA11565	GB_GCA_003501425.1
U_75611	UBA11651	
U_69304	UBA199	GB_GCA_002502055.1
U_68317	UBA2314	GB_GCA_002345265.1
U_65461	UBA7938	GB_GCA_003453495.1
U_67361	UBA1764	GB_GCA_002315535.1
U_66601	UBA65	GB_GCA_002497865.1
U_75356	UBA6440	GB_GCA_002438485.1
U_76504	UBA7143	GB_GCA_002491905.1
U_66344	UBA8250	GB_GCA_003489945.1
U_76079	UBA6841	GB_GCA_002451875.1
U_74044	UBA11098	GB_GCA_003534085.1
U_66767	UBA1428	GB_GCA_002329335.1
U_74053	UBA11106	GB_GCA_003485475.1
U_75533	UBA6542	GB_GCA_002434645.1
U_74467	UBA5906	GB_GCA_002431805.1
U_76552	UBA7184	GB_GCA_002491085.1
U_68896	UBA9168	GB_GCA_003476625.1
U_73759	UBA412	GB_GCA_002495685.1
U_74443	UBA5883	GB_GCA_002431435.1
U_75746	UBA6674	GB_GCA_002455075.1
U_67759	UBA1999	GB_GCA_002334965.1
U_72514	UBA288	GB_GCA_002495225.1
U_68919	UBA9177	
U_75628	UBA500	GB_GCA_002506305.1
U_66281	UBA1123	GB_GCA_002313895.1
U_65677	UBA762	GB_GCA_002297805.1
U_71793	UBA4368	GB_GCA_002393885.1
U_76661	UBA7258	GB_GCA_002472565.1
U_77068	UBA581	GB_GCA_002502725.1
U_75315	UBA6404	GB_GCA_002439835.1
U_73137	UBA5096	GB_GCA_002414635.1
U_74509	UBA11249	
U_75705	UBA6647	GB_GCA_002455655.1
U_75998	UBA11800	
U_68353	UBA2341	GB_GCA_002344755.1
U_71610	UBA4239	GB_GCA_002396245.1
U_73015	UBA10731	GB_GCA_003522335.1
U_74496	UBA11244	GB_GCA_003524285.1
U_66057	UBA8152	
U_75828	UBA6703	GB_GCA_002454515.1
U_73842	UBA5512	GB_GCA_002423945.1
U_73970	UBA5592	GB_GCA_002425045.1
U_73846	UBA429	GB_GCA_002505225.1
U_71565	UBA10230	GB_GCA_003521385.1
U_68336	UBA8980	GB_GCA_003501905.1
U_68936	UBA2695	GB_GCA_002354425.1
U_65594	UBA710	GB_GCA_002298905.1
U_76681	UBA7277	GB_GCA_002472335.1
U_65694	UBA775	GB_GCA_002297145.1
U_73221	UBA10852	GB_GCA_003523525.1
U_68880	UBA2658	GB_GCA_002359425.1
U_72601	UBA4869	GB_GCA_002399505.1
U_69879	UBA3342	GB_GCA_002360865.1
U_74806	UBA6082	GB_GCA_002428665.1
U_74658	UBA11335	GB_GCA_003446195.1
U_66167	UBA1053	GB_GCA_002316465.1
U_67105	UBA1595	GB_GCA_002322775.1
U_70519	UBA9734	GB_GCA_003448655.1
U_66924	UBA8449	GB_GCA_003527285.1
U_71859	UBA4409	GB_GCA_002390825.1
U_72060	UBA4537	GB_GCA_002388065.1
U_70905	UBA9862	GB_GCA_003444595.1
U_71925	UBA4450	GB_GCA_002389525.1
U_71387	UBA10084	GB_GCA_003456295.1
U_75857	UBA6726	GB_GCA_002454095.1
U_67081	UBA8527	
U_74970	UBA6212	GB_GCA_002421905.1
U_66343	UBA8249	
U_67728	UBA8744	GB_GCA_003532565.1
U_65788	UBA8074	
U_70900	UBA3928	GB_GCA_002385915.1
U_76281	UBA11894	GB_GCA_003533765.1
U_77544	UBA7726	GB_GCA_002482055.1
U_67584	UBA1894	GB_GCA_002352835.1
U_72479	UBA4806	GB_GCA_002402635.1
